"ID","Species","N_GNM","N_GBM","AUC","P_Occ","occc","oprec","oaccu"
"ALFL","Alder Flycatcher",56.7444430468977,65.2239838710485,0.593516722556535,0.117983348041285,0.468166337765026,0.765237937399017,0.611791855689076
"AMCR","American Crow",6.42851094232425,7.94399247290149,0.827716555629915,0.0523155431070867,0.99194188306929,0.993086621617102,0.998847292348025
"AMGO","American Goldfinch",19.6660251406904,20.8789308130864,0.879845432187816,0.0183209914438092,0.976030115940533,0.978789813784533,0.997180500036744
"AMRE","American Redstart",28.2776922723275,42.3065608844923,0.795611634264571,0.0742687590326005,0.969193141230419,0.972035624563149,0.997075741607713
"AMRO","American Robin",97.5488719132811,104.029686776327,0.632229511093976,0.161461330877745,0.97018342440562,0.976065001771218,0.993974195002459
"ATSP","American Tree Sparrow",15.9510989856528,17.3625144523726,0.936032805302775,0.0117855452813056,0.954365447018007,0.965166432397527,0.988809199100832
"ATTW","American Three-toed Woodpecker",2.06293400110314,2.35686319254517,0.726369462205983,0.00573610098607221,0.521710661689005,0.561623895479903,0.928932450858788
"BAOR","Baltimore Oriole",2.1266207831495,4.03509711354058,0.844281524926686,0.00576807479312947,0.932793853180272,0.938622291472145,0.993790432696062
"BARS","Barn Swallow",11.4140920853706,12.2139108769186,0.815369005461264,0.00803821509419484,0.942982557329969,0.952351657342976,0.99016214237591
"BAWW","Black-and-white Warbler",13.2899109690413,22.2365341051854,0.776105989452228,0.0392574403049022,0.938546273477059,0.951411551022049,0.986477694609478
"BBCU","Black-billed Cuckoo",0.562075776621607,0.668660026952173,0.948725672251972,0.0034851449692412,0.94105182806909,0.980781009411458,0.959492301582992
"BBMA","Black-billed Magpie",1.65235114050509,1.78095381126367,0.870551532718489,0.0127191804473775,0.98106403460374,0.985631816754039,0.995365630377739
"BBWA","Bay-breasted Warbler",13.5525184537724,26.1029345790932,0.855246568980515,0.0257389146810932,0.813540662785307,0.839295871935773,0.969313313681546
"BBWO","Black-backed Woodpecker",1.22858645804301,1.83474496918851,0.849051346148845,0.00398393635933443,0.512878169795178,0.622724770492265,0.823603290085518
"BCCH","Black-capped Chickadee",16.2616012710961,25.103433109953,0.7016044171381,0.0353310567982709,0.859914054265856,0.878341531827303,0.979020145474494
"BEKI","Belted Kingfisher",1.79204626302214,2.29149610018382,0.730892768192127,0.00246837790482037,0.50054278809751,0.637820138280695,0.784771063276194
"BHCO","Brown-headed Cowbird",17.9114222262738,16.9892368565693,0.813130935093839,0.0248884114133702,0.980701724866355,0.983649827013168,0.997002894662458
"BHVI","Blue-headed Vireo",10.7019376756496,17.6081667730474,0.743908526442506,0.0417833710624257,0.907401501878824,0.929097160405534,0.976648665552652
"BLBW","Blackburnian Warbler",3.81099307140736,8.3327018667036,0.846379395398841,0.0144905293583496,0.91453983193558,0.934777059904829,0.978350743896828
"BLJA","Blue Jay",2.21293611698239,3.32867620976962,0.793514414959994,0.0129046285283096,0.921402027381871,0.945089927213926,0.974935824464995
"BLPW","Blackpoll Warbler",50.4260908613884,46.2322136596078,0.810745616756781,0.0230147463198148,0.933908979382704,0.948485972649342,0.984631303269651
"BOBO","Bobolink",4.48125549919021,2.46044025043037,0.946939141929819,0.00225095601683101,0.881154796489487,0.89816477509103,0.981061405353133
"BOCH","Boreal Chickadee",30.9187543859692,41.8306789249696,0.739706040929475,0.0220171635396283,0.830417094531389,0.861232610495603,0.964219288042888
"BOWA","Bohemian Waxwing",38.3905450956234,20.4921810665431,0.660959852699836,0.00207190269731036,0.679577000142515,0.811013427217353,0.837935572132503
"BRBL","Brewer's Blackbird",9.39739031373923,4.1482064086545,0.769306933013367,0.00505186151504687,0.93878508255408,0.953468002690783,0.984600510876855
"BRCR","Brown Creeper",6.08533307443885,16.6337268175519,0.862087192008598,0.0277212907186433,0.801260579885393,0.886048874033679,0.904307429721915
"BTNW","Black-throated Green Warbler",2.52304802754179,6.12561864389667,0.885967031738963,0.05206614741204,0.934620712118798,0.956024861806042,0.977611304326533
"CAWA","Canada Warbler",3.63365460698421,6.68408853579275,0.841944190643857,0.0204312627095883,0.903048115890721,0.922340868648633,0.979082838662263
"CCSP","Clay-colored Sparrow",29.8553604969968,47.9529245542304,0.846562146686019,0.0802606504751308,0.993578317757514,0.995091907179092,0.998478945099786
"CEDW","Cedar Waxwing",35.6701220523587,56.0362871828185,0.659366103835041,0.0267045236542225,0.687463592769497,0.86665353126683,0.793239244943244
"CHSP","Chipping Sparrow",133.140596866958,150.353069507191,0.633338892578855,0.243870621187123,0.969354621722438,0.983786959284361,0.985329814117051
"CMWA","Cape May Warbler",11.5216345116263,23.4362459714986,0.828545392451466,0.0175728043586694,0.899957088587275,0.926289292405997,0.971572375893144
"COGR","Common Grackle",4.99928318884961,3.23751015952761,0.716693959775889,0.00338282878665797,0.795121484834755,0.827114275312947,0.961319987536078
"CONW","Connecticut Warbler",3.30163626686156,9.27566511637861,0.744396902404768,0.047832815357659,0.799682910956491,0.831903333631441,0.961269030460185
"CORA","Common Raven",12.6357759289367,17.3670977003369,0.642070893994271,0.0663008863139316,0.942730138559881,0.966457415553264,0.975449226617191
"COYE","Common Yellowthroat",21.5247263057202,39.0753916931549,0.725369846132433,0.0871542032766757,0.89178167710396,0.93876241045666,0.949954607439122
"CSWA","Chestnut-sided Warbler",4.29736915110501,6.92674410566832,0.910336807918024,0.0206422898361662,0.94385938201802,0.979983935095088,0.963137606869481
"DEJU","Dark-eyed Junco",145.378999852332,156.380498467205,0.756449474747688,0.139169192597424,0.9776814756665,0.979396586413431,0.998248808735171
