"Species","N.c4i","N.gnm","LM..Intercept.","LM.c4i","r.cor"
"ALFL",5.01167190912164,9.71763287141793,0.0691638620582213,0.357489537483501,0.550698168980753
"AMCR",2.64771367239487,3.79245280745706,0.0232076118606735,0.427884706077952,0.823078004186025
"AMGO",5.17843088253664,9.37422448823791,0.0730361120007967,0.193970212667084,0.651388282310664
"AMRO",19.8691369374959,19.3447055544855,0.117236025121065,0.297433072239812,0.552834021021863
"BANS",1.39818992726533,0.226122027351609,0.00839104224945674,0.00206702659460406,0.181486503090029
"BAOR",0.473608146062791,1.46506728613705,0.00992764609050139,0.691252617246035,0.638062503391218
"BARS",2.15169463464005,5.5534717080311,0.0425560712948306,0.314472165935491,0.681737572827305
"BAWW",7.46310868489338,3.43938443717525,0.0291601362613373,0.0248319019872856,0.322354735567652
"BBMA",1.07791709083673,1.50227003040093,0.00773448820790293,0.571394822277848,0.893340750646967
"BBWA",10.4759741892216,4.08816142523784,0.0289794268735313,0.0815452599066323,0.419217070034851
"BBWO",0.695301948761612,0.235913499495492,0.0019383064423968,0.0282071068052572,0.229629880483541
"BCCH",9.21075870090782,6.59917651552985,0.0423665360867624,0.189351737061712,0.656212938206197
"BHCO",3.95796384619795,11.9742246663932,0.0763483173330388,0.814785293980027,0.796603641140539
"BHVI",4.77437973079,2.96949443280956,0.0193596189150903,0.169467113377799,0.525004004545418
"BLBW",0.285534502773738,1.30990862994647,0.0115970302520714,0.0552071720818367,0.101932640586221
"BLJA",0.415156487354309,1.03667795267881,0.00903367591186432,0.00346947244955343,0.0490531691112289
"BLPW",1.28403921923228,0.67766855472835,0.0054605616326162,0.0531986808084538,0.416494817686752
"BOBO",0.000215049990381219,0.48860586334362,0.0183370813666712,3.59677066593496,0.0390284135855831
"BOCH",19.7914299942604,3.95428507826103,0.0300603968357654,0.0303040874978573,0.275405339562252
"BRBL",26.168205564298,6.6504944758581,0.0477557036798163,0.0450090261227109,0.78647155553748
"BRCR",3.38327629737569,2.10567034066327,0.0144978345768031,0.144184613793722,0.467267439567036
"BRTH",0.0199175205053923,0.0215401647412568,0.00075976770917342,0.0666553104906712,0.494648785205939
"BTNW",1.28538514278022,1.37105371422971,0.0102883953240358,0.173444413734565,0.354946700463461
"CAWA",2.37712686906,1.19158462340906,0.00677478574316325,0.183232674114421,0.591743111663955
"CCSP",7.64267100377533,21.0079326330185,0.0842325423630038,1.48574829803847,0.879237149251516
"CEDW",7.87182375022957,13.4551301417237,0.11196686922459,0.0792695147744029,0.214463863726043
"CHSP",26.4336241165278,26.5814849072593,0.147976093806755,0.364073411092511,0.785745096928035
"CMWA",18.6618556832535,3.1245663143228,0.0183698949838638,0.0575836784731147,0.548853221777041
"COGR",0.119597377783454,0.543355318664036,0.020413927617775,0.00226889499483089,0.0464835279124593
"CONW",0.780728843647368,1.57261428331804,0.012635083285885,0.159676517622648,0.282556265624401
"CORA",1.83007252755361,3.89532759684641,0.0309206129510386,0.192287221861816,0.320326455150356
"COYE",5.40691418315704,7.2615658515177,0.0632303749459666,0.00286977655946762,0.0174029137337895
